State,Min R,Max R,Avg R
R_Factor_Andman,334.60,625.94,496.67
R_Factor_Andhra,216.05,3430.61,634.31
R_Factor_Arunach,236.26,16237.17,3175.62
R_Factor_Assam,1114.47,22602.18,7643.09
R_Factor_Bihar,666.08,8465.50,2510.03
R_Factor_Chandigargh,1878.63,2046.83,1998.77
R_Factor_Chattisgarh,353.11,3825.95,1223.64
R_Factor_DadraNagr,529.73,758.44,671.34
R_Factor_DamanDiu,506.68,574.46,535.73
R_Factor_Goa,585.68,2513.54,1113.00
R_Factor_Gujarat,165.75,1257.62,447.94
R_Factor_Haryana,209.44,2890.73,684.91
R_Factor_Himachal,47.69,5098.11,1340.65
R_Factor_JammuKas,8.10,4445.69,366.22
R_Factor_Jharkhand,362.39,3869.23,1198.17
R_Factor_Kaenataka,139.18,3628.75,488.30
R_Factor_Kerala,273.93,2981.54,1171.33
R_Factor_LaksgDp,340.77,340.77,340.77
R_Factor_MP,229.02,3159.11,882.19
R_Factor_Mahar,91.51,4104.29,657.51
R_Factor_Manipur,597.21,7215.11,1937.64
R_Factor_Meghalaya,997.12,23909.20,6294.95
R_Factor_Mizoram,647.02,4177.28,1753.90
R_Factor_Nagalnd,720.53,4704.41,2205.95
R_Factor_NCDelhi,544.44,781.55,629.74
R_Factor_Odisha,465.32,4811.85,1540.65
R_Factor_Pudduchery,263.10,1298.79,482.90
R_Factor_Punjab,218.13,4322.41,987.59
R_Factor_Rajsthan,65.56,1198.77,318.80
R_Factor_Sikkim,65.77,1933.36,659.68
R_Factor_Tamilnadu,161.53,1661.45,574.07
R_Factor_Telangana,232.25,4811.85,696.82
R_Factor_Tripura,1904.35,4101.80,2464.87
R_Factor_UP,477.95,5731.49,1755.96
R_Factor_Uttarakhand,41.35,5523.02,1506.71
R_Factor_WB,840.62,20932.91,3116.22
