SUBDIVISION,YEAR,QUARTER,TERRAIN,PREDICTED_PRECIPITATION
ANDAMAN & NICOBAR ISLANDS,2016,Jan-Feb,Island,82.42422485351562
ANDAMAN & NICOBAR ISLANDS,2016,Jun-Sep,Island,1235.99560546875
ANDAMAN & NICOBAR ISLANDS,2016,Mar-May,Island,414.7433166503906
ANDAMAN & NICOBAR ISLANDS,2016,Oct-Dec,Island,331.40313720703125
ARUNACHAL PRADESH,2016,Jan-Feb,Hilly,90.6086654663086
ARUNACHAL PRADESH,2016,Jun-Sep,Hilly,1408.3953857421875
ARUNACHAL PRADESH,2016,Mar-May,Hilly,421.5406494140625
ARUNACHAL PRADESH,2016,Oct-Dec,Hilly,267.7010803222656
ASSAM & MEGHALAYA,2016,Jan-Feb,Hilly,59.07892608642578
ASSAM & MEGHALAYA,2016,Jun-Sep,Hilly,1361.0576171875
ASSAM & MEGHALAYA,2016,Mar-May,Hilly,381.10858154296875
ASSAM & MEGHALAYA,2016,Oct-Dec,Hilly,223.45957946777344
BIHAR,2016,Jan-Feb,Plain-land,10.156533241271973
BIHAR,2016,Jun-Sep,Plain-land,1015.4991455078125
BIHAR,2016,Mar-May,Plain-land,219.55935668945312
BIHAR,2016,Oct-Dec,Plain-land,168.72994995117188
CHHATTISGARH,2016,Jan-Feb,Hilly,32.19724655151367
CHHATTISGARH,2016,Jun-Sep,Hilly,1266.382080078125
CHHATTISGARH,2016,Mar-May,Hilly,299.7274169921875
CHHATTISGARH,2016,Oct-Dec,Hilly,138.53131103515625
COASTAL ANDHRA PRADESH,2016,Jan-Feb,Coastal,4.164624214172363
COASTAL ANDHRA PRADESH,2016,Jun-Sep,Coastal,1646.147216796875
COASTAL ANDHRA PRADESH,2016,Mar-May,Coastal,185.86520385742188
COASTAL ANDHRA PRADESH,2016,Oct-Dec,Coastal,250.35659790039062
COASTAL KARNATAKA,2016,Jan-Feb,Coastal,1.0889184474945068
COASTAL KARNATAKA,2016,Jun-Sep,Coastal,1600.4822998046875
COASTAL KARNATAKA,2016,Mar-May,Coastal,160.12564086914062
COASTAL KARNATAKA,2016,Oct-Dec,Coastal,230.99801635742188
EAST MADHYA PRADESH,2016,Jan-Feb,Everything,22.727018356323242
EAST MADHYA PRADESH,2016,Jun-Sep,Everything,1266.546630859375
EAST MADHYA PRADESH,2016,Mar-May,Everything,152.7528533935547
EAST MADHYA PRADESH,2016,Oct-Dec,Everything,66.24003601074219
EAST RAJASTHAN,2016,Jan-Feb,Desert,1.9300992488861084
EAST RAJASTHAN,2016,Jun-Sep,Desert,1364.91162109375
EAST RAJASTHAN,2016,Mar-May,Desert,119.00004577636719
EAST RAJASTHAN,2016,Oct-Dec,Desert,107.5772705078125
EAST UTTAR PRADESH,2016,Jan-Feb,Rugged,0.232076495885849
EAST UTTAR PRADESH,2016,Jun-Sep,Rugged,723.0474853515625
EAST UTTAR PRADESH,2016,Mar-May,Rugged,28.90448570251465
EAST UTTAR PRADESH,2016,Oct-Dec,Rugged,7.64203405380249
GANGETIC WEST BENGAL,2016,Jan-Feb,Coastal-plateau,1.9055278301239014
GANGETIC WEST BENGAL,2016,Jun-Sep,Coastal-plateau,1344.841552734375
GANGETIC WEST BENGAL,2016,Mar-May,Coastal-plateau,110.14229583740234
GANGETIC WEST BENGAL,2016,Oct-Dec,Coastal-plateau,151.38894653320312
GUJARAT REGION,2016,Jan-Feb,Desert/marsh,26.646516799926758
GUJARAT REGION,2016,Jun-Sep,Desert/marsh,1155.81591796875
GUJARAT REGION,2016,Mar-May,Desert/marsh,123.70246124267578
GUJARAT REGION,2016,Oct-Dec,Desert/marsh,82.72306060791016
HARYANA DELHI & CHANDIGARH,2016,Jan-Feb,Plain-land,1.2969695329666138
HARYANA DELHI & CHANDIGARH,2016,Jun-Sep,Plain-land,709.735595703125
HARYANA DELHI & CHANDIGARH,2016,Mar-May,Plain-land,47.51287078857422
HARYANA DELHI & CHANDIGARH,2016,Oct-Dec,Plain-land,22.220170974731445
HIMACHAL PRADESH,2016,Jan-Feb,Hilly,64.67472839355469
HIMACHAL PRADESH,2016,Jun-Sep,Hilly,876.4495849609375
HIMACHAL PRADESH,2016,Mar-May,Hilly,201.2014923095703
HIMACHAL PRADESH,2016,Oct-Dec,Hilly,86.22350311279297
JAMMU & KASHMIR,2016,Jan-Feb,Hilly,64.02088165283203
JAMMU & KASHMIR,2016,Jun-Sep,Hilly,853.0910034179688
JAMMU & KASHMIR,2016,Mar-May,Hilly,203.89199829101562
JAMMU & KASHMIR,2016,Oct-Dec,Hilly,86.44206237792969
JHARKHAND,2016,Jan-Feb,Forest,53.482948303222656
JHARKHAND,2016,Jun-Sep,Forest,879.735595703125
JHARKHAND,2016,Mar-May,Forest,181.5002899169922
JHARKHAND,2016,Oct-Dec,Forest,90.95648956298828
KERALA,2016,Jan-Feb,Coastal,9.319953918457031
KERALA,2016,Jun-Sep,Coastal,1120.1064453125
KERALA,2016,Mar-May,Coastal,137.76214599609375
KERALA,2016,Oct-Dec,Coastal,189.86959838867188
MADHYA MAHARASHTRA,2016,Jan-Feb,Plain-land,4.234592914581299
MADHYA MAHARASHTRA,2016,Jun-Sep,Plain-land,660.697021484375
MADHYA MAHARASHTRA,2016,Mar-May,Plain-land,36.47157669067383
MADHYA MAHARASHTRA,2016,Oct-Dec,Plain-land,32.7952880859375
NAGA MANI MIZO TRIPURA,2016,Jan-Feb,Hilly,56.90177536010742
NAGA MANI MIZO TRIPURA,2016,Jun-Sep,Hilly,807.3433837890625
