SUBDIVISION,YEAR,ANNUAL PRECIPITATION,QUARTER,PRECIPITATION,SEVERITY1,TERRAIN,CLIMATE,SEVERITY
ANDAMAN & NICOBAR ISLANDS,1980,3625.3,Jan-Feb,6.3,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1980,3625.3,Mar-May,776.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1980,3625.3,Jun-Sep,1946.3,4,Island,Tropical,4
ANDAMAN & NICOBAR ISLANDS,1980,3625.3,Oct-Dec,896.3,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1981,3074.8,Jan-Feb,38.9,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1981,3074.8,Mar-May,366.7,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1981,3074.8,Jun-Sep,1908,0,Island,Tropical,4
ANDAMAN & NICOBAR ISLANDS,1981,3074.8,Oct-Dec,761.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1982,2384.5,Jan-Feb,11.6,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1982,2384.5,Mar-May,333.3,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1982,2384.5,Jun-Sep,1575.8,0,Island,Tropical,3
ANDAMAN & NICOBAR ISLANDS,1982,2384.5,Oct-Dec,463.8,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1983,2792.4,Jan-Feb,22.1,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1983,2792.4,Mar-May,253,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1983,2792.4,Jun-Sep,1892.4,0,Island,Tropical,4
ANDAMAN & NICOBAR ISLANDS,1983,2792.4,Oct-Dec,624.9,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1984,2820.3,Jan-Feb,243.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1984,2820.3,Mar-May,345.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1984,2820.3,Jun-Sep,1280.7,0,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,1984,2820.3,Oct-Dec,951.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1985,2630.8,Jan-Feb,31.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1985,2630.8,Mar-May,357.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1985,2630.8,Jun-Sep,1557,0,Island,Tropical,3
ANDAMAN & NICOBAR ISLANDS,1985,2630.8,Oct-Dec,685.4,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1986,2187.8,Jan-Feb,15.4,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1986,2187.8,Mar-May,312.3,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1986,2187.8,Jun-Sep,1473.6,0,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,1986,2187.8,Oct-Dec,386.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1987,2764,Jan-Feb,107.6,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1987,2764,Mar-May,200.9,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1987,2764,Jun-Sep,1434.5,0,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,1987,2764,Oct-Dec,1021,0,Island,Tropical,1
ANDAMAN & NICOBAR ISLANDS,1988,3323,Jan-Feb,50.1,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1988,3323,Mar-May,538.1,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1988,3323,Jun-Sep,1810.5,1,Island,Tropical,1
ANDAMAN & NICOBAR ISLANDS,1988,3323,Oct-Dec,924.3,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1989,2533.6,Jan-Feb,68.8,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1989,2533.6,Mar-May,490,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1989,2533.6,Jun-Sep,1424.1,0,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,1989,2533.6,Oct-Dec,550.7,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1990,2183.4,Jan-Feb,13.6,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1990,2183.4,Mar-May,536.8,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1990,2183.4,Jun-Sep,1108,0,Island,Tropical,1
ANDAMAN & NICOBAR ISLANDS,1990,2183.4,Oct-Dec,525.1,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1991,2535.8,Jan-Feb,18,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1991,2535.8,Mar-May,352.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1991,2535.8,Jun-Sep,1689.3,0,Island,Tropical,3
ANDAMAN & NICOBAR ISLANDS,1991,2535.8,Oct-Dec,476.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1992,2098.7,Jan-Feb,86.8,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1992,2098.7,Mar-May,246.8,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1992,2098.7,Jun-Sep,1436.2,0,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,1992,2098.7,Oct-Dec,328.8,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1993,2237.4,Jan-Feb,14.9,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1993,2237.4,Mar-May,355,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1993,2237.4,Jun-Sep,1312.5,0,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,1993,2237.4,Oct-Dec,555,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1994,3262.8,Jan-Feb,42.6,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1994,3262.8,Mar-May,687.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1994,3262.8,Jun-Sep,2191.5,3,Island,Tropical,3
ANDAMAN & NICOBAR ISLANDS,1994,3262.8,Oct-Dec,341.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1995,3115.4,Jan-Feb,64.3,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1995,3115.4,Mar-May,348.1,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1995,3115.4,Jun-Sep,1933.9,0,Island,Tropical,4
ANDAMAN & NICOBAR ISLANDS,1995,3115.4,Oct-Dec,769.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1996,2996.9,Jan-Feb,57,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1996,2996.9,Mar-May,424.1,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1996,2996.9,Jun-Sep,1764.3,0,Island,Tropical,4
ANDAMAN & NICOBAR ISLANDS,1996,2996.9,Oct-Dec,751.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,Jan-Feb,9.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,Mar-May,296.9,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,Jun-Sep,1988.8,0,Island,Tropical,4
ANDAMAN & NICOBAR ISLANDS,1997,2755.1,Oct-Dec,459.9,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,Jan-Feb,0.9,0,Island,Tropical,0
