STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN+FEB,MAM,JJAS,OND,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Min R,Max R,Avg R,FullName,Annual Rainfall,Groundwater Recharge,Cluster
AN,61.23333333,33.26666667,30.8,86.96666667,358.8333333,418.6666667,390.5666667,385.3,421.7333333,301.1,263.2,159.7333333,2911.4,94.5,476.6,1616.266667,724.0333333,94.5,476.6,1616.266667,724.0333333,334.6,625.94,496.67,Andman,2911.39999997,2766.79949617149,1
AR,53.6875,93.29375,165.01875,275.1625,300.2625,491.38125,547.58125,378.6,366.475,176.76875,43.1875,35.95625,2927.375,146.98125,740.44375,1784.0375,255.9125,146.98125,740.44375,1784.0375,255.9125,236.26,16237.17,3175.62,Arunach,2927.3750000000005,1997.7519402500002,1
AS,15.73333333,31.71481481,77.76296296,181.2666667,333.8703704,465.1851852,494.8444444,377.3703704,303.8,136.4481481,24.92222222,11.44074074,2454.359259,47.44814815,592.9,1641.2,172.8111111,47.44814814,592.9000001,1641.2,172.8111111,1114.47,22602.18,7643.09,Assam,2454.35925926,578.4703881742486,2
ML,14.9,21.68571429,74.75714286,211.2285714,430.0428571,757.2285714,857.7428571,584.3714286,454.7,225.5714286,39.57142857,11.04285714,3682.842857,36.58571429,716.0285714,2654.042857,276.1857143,36.58571429,716.0285714,2654.042857,276.1857143,997.12,23909.2,6294.95,Meghalaya,3682.8428570599995,1364.511692755015,2
MN,22.6,55.12222222,82.41111111,150.7666667,213.3777778,487.0888889,498.0555556,451.8,278.4,189.2222222,56.0,11.78888889,2496.633333,77.72222222,446.5555556,1715.344444,257.0111111,77.72222222,446.5555556,1715.344445,257.0111111,597.21,7215.11,1937.64,Manipur,2496.63333342,2012.875672203207,1
MZ,11.56666667,29.94444444,96.25555556,152.6,321.3222222,429.8333333,452.3111111,440.5888889,372.1555556,229.8222222,64.63333333,15.28888889,2616.322222,41.51111111,570.1777778,1694.888889,309.7444444,41.51111111,570.1777778,1694.888889,309.7444444,647.02,4177.28,1753.9,Mizoram,2616.32222219,2157.445467640096,1
NL,18.48181818,27.67272727,63.01818182,134.2272727,213.3818182,340.3181818,395.0363636,350.8727273,227.6272727,121.1545455,38.55454545,10.35454545,1940.7,46.15454545,410.6272727,1313.854545,170.0636364,46.15454545,410.6272727,1313.854545,170.0636364,720.53,4704.41,2205.95,Nagalnd,1940.69999997,1512.5912834766177,0
TR,11.225,33.65,93.625,220.75,391.575,465.425,414.975,356.475,260.35,176.65,43.3,11.125,2479.125,44.875,705.95,1497.225,231.075,44.875,705.95,1497.225,231.075,1904.35,4101.8,2464.87,Tripura,2479.125,1868.052916125,1
SK,47.55,77.3,130.6,206.9,323.55,483.8,499.2,434.6,373.15,209.85,30.95,20.9,2838.35,124.85,661.05,1790.75,261.7,124.85,661.05,1790.75,261.7,65.77,1933.36,659.68,Sikkim,2838.35,2651.1097271999997,1
OD,10.81,22.37,27.45333333,36.65333333,70.72333333,212.5166667,332.3166667,363.3466667,238.3366667,116.0566667,30.4,5.136666667,1466.12,33.18,134.83,1146.516667,151.5933333,33.18,134.83,1146.516667,151.5933334,465.32,4811.85,1540.65,Odisha,1466.1200001570003,1240.242222332812,0
